SITE,COMMON_NAME,SPECIES,DIST_FT,DIST_M,DBH_IN,DBH_CM,CC,NORTHING,EASTING
S222,Black Spruce,Picea mariana,14.3,4.36,7.76,19.7,Co,464573,5262436
S222,Tamarack,Larix laricina,15.3,4.66,5.12,13,Co,464573,5262436
S222,Tamarack,Larix laricina,22.3,6.80,5.67,14.4,Co,464573,5262436
S223,Black Spruce,Picea mariana,11.6,3.54,7.24,18.4,Co,464635,5262421
S223,Black Spruce,Picea mariana,24.3,7.41,6.85,17.4,Co,464635,5262421
S223,Black Spruce,Picea mariana,23.3,7.10,5.43,13.8,Co,464635,5262421
S223,Black Spruce,Picea mariana,22.3,6.80,7.60,19.3,Co,464635,5262421
S223,Black Spruce,Picea mariana,15.9,4.85,6.50,16.5,Co,464635,5262421
S223,Black Spruce,Picea mariana,12.1,3.69,5.12,13,Co,464635,5262421
S223,Black Spruce,Picea mariana,11.7,3.57,5.91,15,Co,464635,5262421
S223,Black Spruce,Picea mariana,7.6,2.32,3.70,9.4,Co,464635,5262421
S223,Black Spruce,Picea mariana,13,3.96,5.51,14,Co,464635,5262421
S223,Black Spruce,Picea mariana,26.2,7.99,7.44,18.9,Co,464635,5262421
S223,Black Spruce,Picea mariana,20.5,6.25,7.48,19,Co,464635,5262421
S223,Black Spruce,Picea mariana,25.6,7.80,7.17,18.2,Co,464635,5262421
S223,Black Spruce,Picea mariana,21,6.40,6.06,15.4,Co,464635,5262421
S223,Black Spruce,Picea mariana,10.1,3.08,4.45,11.3,Int,464635,5262421
S223,Black Spruce,Picea mariana,11.8,3.60,4.53,11.5,Int,464635,5262421
S223,Black Spruce,Picea mariana,8.9,2.71,5.79,14.7,Co,464635,5262421
S223,Black Spruce,Picea mariana,20.4,6.22,6.77,17.2,Co,464635,5262421
S223,Black Spruce,Picea mariana,11.9,3.63,7.64,19.4,Co,464635,5262421
S223,Black Spruce,Picea mariana,14.8,4.51,5.51,14,Co,464635,5262421
S223,Black Spruce,Picea mariana,15,4.57,5.31,13.5,Co,464635,5262421
S223,Black Spruce,Picea mariana,21.3,6.49,6.02,15.3,Co,464635,5262421
S224,Black Spruce,Picea mariana,3.4,1.04,2.64,6.7,Int,464698,5262427
S224,Black Spruce,Picea mariana,7.1,2.16,3.66,9.3,Co,464698,5262427
S224,Black Spruce,Picea mariana,8.4,2.56,3.74,9.5,Co,464698,5262427
S224,Black Spruce,Picea mariana,9,2.74,3.66,9.3,Int,464698,5262427
S224,Paper Birch,Betula papyrifera,5.2,1.58,3.70,9.4,Co,464698,5262427
S224,Paper Birch,Betula papyrifera,12.5,3.81,4.65,11.8,Co,464698,5262427
S224,Paper Birch,Betula papyrifera,26,7.92,5.98,15.2,Co,464698,5262427
S224,Red Maple,Acer rubrum,25.8,7.86,3.86,9.8,Co,464698,5262427
S224,Red Maple,Acer rubrum,16.5,5.03,8.46,21.5,Co,464698,5262427
S224,Red Maple,Acer rubrum,17.1,5.21,8.86,22.5,Co,464698,5262427
S224,Balsam Fir,Abies balsamea,19.7,6.00,6.22,15.8,Co,464698,5262427
S224,Balsam Fir,Abies balsamea,16.2,4.94,7.48,19,Co,464698,5262427
S224,Balsam Fir,Abies balsamea,24.8,7.56,5.24,13.3,Co,464698,5262427
S225,Black Spruce,Picea mariana,2.1,0.64,6.89,17.5,Dom,464755,5262424
S225,Black Spruce,Picea mariana,24,7.32,7.91,20.1,Dom,464755,5262424
S225,Black Spruce,Picea mariana,9.3,2.83,7.52,19.1,Dom,464755,5262424
S225,Black Spruce,Picea mariana,21.5,6.55,7.99,20.3,Dom,464755,5262424
S225,Balsam Fir,Abies balsamea,13.3,4.05,6.10,15.5,Dom,464755,5262424
S226,Paper Birch,Betula papyrifera,2.1,0.64,10.63,27,Co,464816,5262425
S226,Paper Birch,Betula papyrifera,9,2.74,11.89,30.2,Co,464816,5262425
S226,Paper Birch,Betula papyrifera,14.9,4.54,10.24,26,Dom,464816,5262425
S226,Paper Birch,Betula papyrifera,6.9,2.10,8.27,21,Co,464816,5262425
S226,Paper Birch,Betula papyrifera,15.7,4.79,6.46,16.4,Co,464816,5262425
S226,Paper Birch,Betula papyrifera,22.6,6.89,13.23,33.6,Co,464816,5262425
S226,Paper Birch,Betula papyrifera,15.6,4.75,6.06,15.4,Int,464816,5262425
S226,Paper Birch,Betula papyrifera,10,3.05,9.17,23.3,Co,464816,5262425
S226,Red Maple,Acer rubrum,18.5,5.64,7.17,18.2,Sup,464816,5262425
S226,Red Maple,Acer rubrum,17.2,5.24,8.58,21.8,Co,464816,5262425
S232,Quaking Aspen,Populus tremuloides,7.1,2.16,16.61,42.2,Co,464574,5262363
S232,Quaking Aspen,Populus tremuloides,18,5.49,19.88,50.5,Co,464574,5262363
S232,Black Spruce,Picea mariana,9.8,2.99,9.06,23,Int,464574,5262363
S232,Paper Birch,Betula papyrifera,24.7,7.53,8.27,21,Co,464574,5262363
S232,Paper Birch,Betula papyrifera,24.9,7.59,12.91,32.8,Co,464574,5262363
S232,Balsam Fir,Abies balsamea,21.4,6.52,8.03,20.4,Int,464574,5262363
S232,Balsam Fir,Abies balsamea,19.7,6.00,6.54,16.6,Int,464574,5262363
S233,Black Spruce,Picea mariana,4.4,1.34,7.36,18.7,Co,464634,5262367
S233,Black Spruce,Picea mariana,25.2,7.68,6.54,16.6,Co,464634,5262367
S233,Black Spruce,Picea mariana,25.6,7.80,7.01,17.8,Dom,464634,5262367
S233,Black Spruce,Picea mariana,15.1,4.60,9.84,25,Dom,464634,5262367
S233,Black Spruce,Picea mariana,21,6.40,8.98,22.8,Co,464634,5262367
S233,Black Spruce,Picea mariana,11.7,3.57,6.85,17.4,Co,464634,5262367
S233,Black Spruce,Picea mariana,21.7,6.61,5.83,14.8,Co,464634,5262367
S233,Black Spruce,Picea mariana,23.2,7.07,6.30,16,Sup,464634,5262367
S233,Black Spruce,Picea mariana,25.3,7.71,8.03,20.4,Co,464634,5262367
S233,Black Spruce,Picea mariana,23.7,7.22,5.51,14,Co,464634,5262367
S233,Black Spruce,Picea mariana,17.2,5.24,7.24,18.4,Co,464634,5262367
S233,Black Spruce,Picea mariana,26,7.92,5.91,15,Co,464634,5262367
S233,Black Spruce,Picea mariana,19.5,5.94,6.22,15.8,Int,464634,5262367
S233,Paper Birch,Betula papyrifera,13.7,4.18,3.35,8.5,Int,464634,5262367
S234,Black Spruce,Picea mariana,12.2,3.72,5.71,14.5,Dom,464697,5262362
S234,Black Spruce,Picea mariana,20.8,6.34,3.70,9.4,Int,464697,5262362
S234,Black Spruce,Picea mariana,25.2,7.68,7.32,18.6,Dom,464697,5262362
S234,Black Spruce,Picea mariana,25.4,7.74,5.91,15,Dom,464697,5262362
S234,Black Spruce,Picea mariana,20.8,6.34,6.14,15.6,Dom,464697,5262362
S234,Black Spruce,Picea mariana,16.2,4.94,4.33,11,Int,464697,5262362
S234,Black Spruce,Picea mariana,18.5,5.64,5.91,15,Dom,464697,5262362
S234,Black Spruce,Picea mariana,19.3,5.88,3.94,10,Int,464697,5262362
S234,Black Spruce,Picea mariana,20.9,6.37,5.91,15,Dom,464697,5262362
S234,Black Spruce,Picea mariana,23.7,7.22,6.50,16.5,Dom,464697,5262362
S234,Black Spruce,Picea mariana,13.9,4.24,5.31,13.5,Dom,464697,5262362
S234,Black Spruce,Picea mariana,22.5,6.86,4.06,10.3,Int,464697,5262362
S234,Black Spruce,Picea mariana,22.9,6.98,6.89,17.5,Dom,464697,5262362
S234,Black Spruce,Picea mariana,17.1,5.21,5.35,13.6,Dom,464697,5262362
S234,Black Spruce,Picea mariana,8.3,2.53,7.24,18.4,Dom,464697,5262362
S234,Black Spruce,Picea mariana,13.9,4.24,4.72,12,Dom,464697,5262362
S234,Black Spruce,Picea mariana,21,6.40,4.53,11.5,Int,464697,5262362
S234,Black Spruce,Picea mariana,25.3,7.71,4.84,12.3,Dom,464697,5262362
S234,Black Spruce,Picea mariana,17.6,5.36,5.79,14.7,Dom,464697,5262362
S234,Black Spruce,Picea mariana,20.5,6.25,5.51,14,Dom,464697,5262362
S234,Black Spruce,Picea mariana,20.2,6.16,5.24,13.3,Dom,464697,5262362
S234,Black Spruce,Picea mariana,24.4,7.44,6.69,17,Dom,464697,5262362
S234,Black Spruce,Picea mariana,20,6.10,4.02,10.2,Int,464697,5262362
S234,Black Spruce,Picea mariana,14.1,4.30,4.92,12.5,Dom,464697,5262362
S234,Black Spruce,Picea mariana,7.7,2.35,5.91,15,Dom,464697,5262362
S234,Black Spruce,Picea mariana,23.7,7.22,5.31,13.5,Dom,464697,5262362
S235,Black Spruce,Picea mariana,13.1,3.99,6.89,17.5,Co,464758,5262367
S235,Black Spruce,Picea mariana,11.6,3.54,3.66,9.3,Int,464758,5262367
S235,Black Spruce,Picea mariana,15,4.57,5.91,15,Dom,464758,5262367
S235,Black Spruce,Picea mariana,18.3,5.58,5.20,13.2,Dom,464758,5262367
S235,Balsam Fir,Abies balsamea,11.5,3.51,6.42,16.3,Co,464758,5262367
S235,Paper Birch,Betula papyrifera,16.4,5.00,4.53,11.5,NAN,464758,5262367
S236,Red Maple,Acer rubrum,9.1,2.77,9.61,24.4,Co,464819,5262358
S236,Red Maple,Acer rubrum,9.3,2.83,9.65,24.5,Co,464819,5262358
S236,Red Maple,Acer rubrum,22.9,6.98,6.46,16.4,Co,464819,5262358
S236,Red Maple,Acer rubrum,23.8,7.25,5.43,13.8,Co,464819,5262358
S236,Red Maple,Acer rubrum,16.3,4.97,9.92,25.2,Co,464819,5262358
S236,Balsam Fir,Abies balsamea,17.7,5.39,11.93,30.3,Int,464819,5262358
S236,Balsam Fir,Abies balsamea,23.9,7.28,4.76,12.1,Sup,464819,5262358
S236,White Ash,Fraxinus americana,22.3,6.80,5.39,13.7,Co,464819,5262358
S236,White Ash,Fraxinus americana,16.7,5.09,3.94,10,Co,464819,5262358
S236,White Ash,Fraxinus americana,4.8,1.46,5.04,12.8,Int,464819,5262358
S243,Red Maple,Acer rubrum,5,1.52,6.38,16.2,Co,464633,5262304
S243,Red Maple,Acer rubrum,12.8,3.90,3.66,9.3,Co,464633,5262304
S243,Red Maple,Acer rubrum,21.7,6.61,3.54,9,Co,464633,5262304
S243,Red Maple,Acer rubrum,11.3,3.44,8.15,20.7,Co,464633,5262304
S243,Northern Red Oak,Quercus rubra,15.6,4.75,3.66,9.3,Co,464633,5262304
S243,Northern Red Oak,Quercus rubra,26.2,7.99,5.55,14.1,Int,464633,5262304
S243,Tamarack,Larix laricina,19.8,6.04,16.06,40.8,Dom,464633,5262304
S244,Red Maple,Acer rubrum,4.6,1.40,3.70,9.4,Co,464692,5262308
S244,Red Maple,Acer rubrum,14.6,4.45,5.04,12.8,Co,464692,5262308
S244,Red Maple,Acer rubrum,15.6,4.75,5.79,14.7,Int,464692,5262308
S244,Red Maple,Acer rubrum,9.6,2.93,7.40,18.8,Co,464692,5262308
S244,Quaking Aspen,Populus tremuloides,23.5,7.16,4.92,12.5,Co,464692,5262308
S244,Northern Red Oak,Quercus rubra,24.5,7.47,6.57,16.7,Co,464692,5262308
S244,Balsam Fir,Abies balsamea,18.2,5.55,16.10,40.9,Dom,464692,5262308
S245,Quaking Aspen,Populus tremuloides,2.8,0.85,16.10,40.9,Co,464758,5262299
S245,Quaking Aspen,Populus tremuloides,17.8,5.43,15.39,39.1,Co,464758,5262299
S245,Quaking Aspen,Populus tremuloides,20.5,6.25,16.26,41.3,Co,464758,5262299
S245,Quaking Aspen,Populus tremuloides,23.8,7.25,10.31,26.2,Co,464758,5262299
S245,Quaking Aspen,Populus tremuloides,12.4,3.78,17.20,43.7,Co,464758,5262299
S245,Quaking Aspen,Populus tremuloides,15.9,4.85,17.13,43.5,Co,464758,5262299
S245,Quaking Aspen,Populus tremuloides,16.7,5.09,17.36,44.1,Co,464758,5262299
S245,Paper Birch,Betula papyrifera,9.7,2.96,6.93,17.6,Sup,464758,5262299
S245,White Ash,Fraxinus americana,12.9,3.93,4.02,10.2,Sup,464758,5262299
S245,Red Maple,Acer rubrum,14.6,4.45,3.86,9.8,Sup,464758,5262299
S245,Red Maple,Acer rubrum,10,3.05,4.96,12.6,Sup,464758,5262299
S245,Red Maple,Acer rubrum,23.8,7.25,6.50,16.5,Sup,464758,5262299
S245,Northern Red Oak,Quercus rubra,15.1,4.60,4.17,10.6,Sup,464758,5262299
S245,Bigtooth Aspen,Populus grandidentata,17,5.18,3.74,9.5,Sup,464758,5262299
S245,Bigtooth Aspen,Populus grandidentata,20,6.10,4.25,10.8,Sup,464758,5262299
S245,Bigtooth Aspen,Populus grandidentata,25.6,7.80,5.39,13.7,Sup,464758,5262299
S245,Bigtooth Aspen,Populus grandidentata,16,4.88,4.17,10.6,Sup,464758,5262299
S246,Red Maple,Acer rubrum,5.5,1.68,9.53,24.2,Int,464778,5262334
S246,Paper Birch,Betula papyrifera,24.5,7.47,11.81,30,Co,464778,5262334
S246,Paper Birch,Betula papyrifera,21.5,6.55,6.22,15.8,Int,464778,5262334
S246,Paper Birch,Betula papyrifera,20.5,6.25,8.46,21.5,Sup,464778,5262334
S246,Paper Birch,Betula papyrifera,21.4,6.52,13.82,35.1,Co,464778,5262334
S246,Quaking Aspen,Populus tremuloides,17.3,5.27,17.36,44.1,Dom,464778,5262334
S246,Quaking Aspen,Populus tremuloides,16.9,5.15,22.60,57.4,Dom,464778,5262334
S246,Quaking Aspen,Populus tremuloides,17.1,5.21,19.72,50.1,Dom,464778,5262334
S246,Sugar Maple,Acer saccharum,25.1,7.65,8.70,22.1,Sup,464778,5262334
S246,White Ash,Fraxinus americana,21.2,6.46,4.45,11.3,Sup,464778,5262334
S254,Sugar Maple,Acer saccharum,3,0.91,4.53,11.5,Co,464692,5262241
S254,Sugar Maple,Acer saccharum,17.9,5.46,5.31,13.5,Co,464692,5262241
S254,Sugar Maple,Acer saccharum,11,3.35,14.37,36.5,Co,464692,5262241
S254,Sugar Maple,Acer saccharum,19.7,6.00,11.50,29.2,Co,464692,5262241
S254,Sugar Maple,Acer saccharum,8.2,2.50,4.21,10.7,Co,464692,5262241
S254,Sugar Maple,Acer saccharum,25.6,7.80,3.94,10,Co,464692,5262241
S254,Northern Red Oak,Quercus rubra,22.5,6.86,6.30,16,Co,464692,5262241
S254,Paper Birch,Betula papyrifera,26.3,8.02,11.42,29,Co,464692,5262241
S254,Red Maple,Acer rubrum,11.2,3.41,3.58,9.1,Co,464692,5262241
S255,Red Maple,Acer rubrum,4.8,1.46,14.96,38,Co,464748,5262240
S255,Red Maple,Acer rubrum,15.7,4.79,6.97,17.7,Co,464748,5262240
S255,Red Maple,Acer rubrum,16.4,5.00,8.90,22.6,Co,464748,5262240
S255,Red Maple,Acer rubrum,25,7.62,6.02,15.3,Co,464748,5262240
S255,Red Maple,Acer rubrum,18.4,5.61,11.18,28.4,Co,464748,5262240
S255,Red Maple,Acer rubrum,13.4,4.08,9.96,25.3,Co,464748,5262240
S255,Quaking Aspen,Populus tremuloides,20.2,6.16,23.11,58.7,Dom,464748,5262240
S255,Quaking Aspen,Populus tremuloides,22.8,6.95,16.18,41.1,Dom,464748,5262240
S255,White Ash,Fraxinus americana,13.9,4.24,4.37,11.1,Sup,464748,5262240
S255,Paper Birch,Betula papyrifera,22,6.71,10.24,26,Co,464748,5262240
